 Al Density=2.699
 Energy(eV), Delta, Beta
  191.748734  0.0107519981  0.00969954766
  194.4216  0.0106177451  0.0092740804
  197.131729  0.0104713673  0.00886722282
  199.879639  0.010316723  0.00847819354
  202.665863  0.0101548489  0.0081040943
  205.490906  0.00998593029  0.0077452776
  208.355347  0.00981075689  0.00740233716
  211.259705  0.00963093154  0.0070745456
  214.204544  0.0094469497  0.00676132739
  217.190445  0.00925830938  0.00646194443
  220.217957  0.0090650674  0.00617581047
  223.287674  0.008864915  0.00590744289
  226.400192  0.00866482221  0.00566261029
  229.556091  0.00847293157  0.00543671753
  232.755981  0.00829183497  0.00521983206
  236.000458  0.00811490603  0.00501160184
  239.290176  0.00794219412  0.00481167575
  242.625763  0.007773221  0.00461973343
  246.007828  0.0076079485  0.00443544658
  249.437057  0.00744639477  0.00425850041
  252.914062  0.00728866365  0.00408861553
  256.439545  0.00713497913  0.00392551348
  260.01416  0.00698596006  0.00376891391
  263.638641  0.00684499415  0.00361856748
  267.313599  0.00671245204  0.00346939522
  271.039825  0.0065798671  0.00330959214
  274.817963  0.00644135056  0.00315217976
  278.648773  0.00629835995  0.00300225709
  282.53299  0.0061544124  0.00285946787
  286.471375  0.00601066696  0.00272346963
  290.4646  0.00586768519  0.0025939378
  294.513519  0.00572580518  0.00247056177
  298.618896  0.00558566116  0.00235306146
  302.781494  0.00544742635  0.00224114466
  307.002106  0.00531124324  0.0021345506
  311.281525  0.00517725153  0.00203303201
  315.620605  0.00504557136  0.00193633861
  320.020203  0.00491625024  0.00184424245
  324.48111  0.00478915172  0.00175652409
  329.004181  0.00466448441  0.00167298585
  333.590363  0.00454228465  0.00159341563
  338.240417  0.00442252867  0.00151762599
  342.955322  0.00430515921  0.001445445
  347.735901  0.00419010548  0.00137670187
  352.58316  0.00407723477  0.001311225
  357.497986  0.00396578712  0.00124885829
  362.481323  0.003856336  0.00119226985
  367.534119  0.00375089864  0.00113925617
  372.657349  0.00364917889  0.00108883879
  377.85199  0.0035506303  0.00104065414
  383.119019  0.00345490896  0.000994601753
  388.459473  0.00336188078  0.000950584479
  393.87439  0.00327141839  0.000908520306
  399.364807  0.00318343169  0.000868314994
  404.931732  0.0030978655  0.000829889148
  410.576233  0.00301465229  0.000793162442
  416.299469  0.00293374434  0.000758060836
  422.102448  0.00285511068  0.000724514539
  427.986359  0.00277876062  0.000692452886
  433.95224  0.00270484202  0.000661807659
  440.001282  0.00263321726  0.00063127483
  446.134674  0.00256282068  0.000601695792
  452.353577  0.00249378267  0.000573434867
  458.659119  0.00242628832  0.000546508702
  465.052582  0.0023604345  0.000520842383
  471.535156  0.00229621888  0.000496378168
  478.108093  0.00223360886  0.000473066611
  484.772644  0.00217264728  0.000450844789
  491.530151  0.00211328431  0.000429642329
  498.381775  0.00205553463  0.000409342028
  505.328979  0.00199930021  0.00038984936
  512.372986  0.00194444228  0.000371163653
  519.515198  0.00189088343  0.000353332667
  526.756958  0.00183867454  0.000336382916
  534.09967  0.00178782584  0.000320289313
  541.544739  0.00173836062  0.000304985035
  549.093506  0.00169030763  0.000290416414
  556.74762  0.00164360285  0.000276425737
  564.508362  0.00159812369  0.000262988004
  572.377319  0.00155378925  0.000250116107
  580.355957  0.0015105959  0.000237795452
  588.445801  0.00146846706  0.000226063552
  596.648438  0.00142743473  0.0002148965
  604.965332  0.00138748309  0.000204281576
  613.398315  0.00134860864  0.000194190623
  621.948669  0.00131081499  0.000184592631
  630.618347  0.00127408083  0.000175422712
  639.408813  0.00123835483  0.00016660009
  648.321838  0.00120355701  0.000158081035
  657.35907  0.00116953114  0.000149893021
  666.522278  0.0011361707  0.000142131757
  675.813293  0.00110359583  0.00013500113
  685.233704  0.0010720056  0.000128454951
  694.785522  0.00104147336  0.000122357349
  704.470398  0.00101195369  0.000116545336
  714.290344  0.000983374775  0.000110862777
  724.247192  0.000955524738  0.000105345622
  734.342834  0.000928378955  0.000100104029
  744.579163  0.000901974854  9.51225666E-05
  754.958191  0.000876295788  9.03883847E-05
  765.481934  0.000851325924  8.58863641E-05
  776.152344  0.000827051408  8.15991589E-05
  786.971436  0.000803450879  7.75098742E-05
  797.941406  0.000780487142  7.36121438E-05
  809.06427  0.000758142211  6.99100419E-05
  820.342224  0.00073641265  6.63931933E-05
  831.777283  0.00071528292  6.30530703E-05
  843.371826  0.000694736664  5.98807055E-05
  855.127991  0.000674757117  5.68668256E-05
  867.047974  0.0006553274  5.40021647E-05
  879.134155  0.000636435929  5.12792831E-05
  891.388855  0.000618060585  4.86939716E-05
  903.814331  0.00060018868  4.62392454E-05
  916.413025  0.000582812412  4.39084688E-05
  929.187317  0.000565915892  4.1692474E-05
  942.139648  0.000549481076  3.95859643E-05
  955.272583  0.000533492828  3.758608E-05
  968.588562  0.000517942128  3.56874007E-05
  982.09021  0.000502810697  3.3883447E-05
  995.779968  0.000488090998  3.21738444E-05
  1009.66058  0.000473763386  3.05535432E-05
  1023.7348  0.000459826348  2.90331755E-05
  1038.005  0.000446284539  2.75938801E-05
  1052.47424  0.000433125068  2.62099456E-05
  1067.14514  0.00042030873  2.48805227E-05
  1082.02051  0.000407818443  2.36180458E-05
  1097.10339  0.000395653013  2.24197211E-05
  1112.39636  0.000383802253  2.12821196E-05
  1127.90259  0.000372258626  2.02023293E-05
  1143.62488  0.000361009705  1.91774543E-05
  1159.56641  0.000350043789  1.82045387E-05
  1175.73022  0.000339352962  1.7280805E-05
  1192.11926  0.000328918861  1.64039975E-05
  1208.73682  0.000318725768  1.55717098E-05
  1225.58594  0.0003087683  1.47816272E-05
  1242.66992  0.000299032254  1.40339007E-05
  1259.99194  0.000289507239  1.33270332E-05
  1277.55554  0.000280179986  1.26589557E-05
