 Pb Density=11.35
 Energy(eV), Delta, Beta
  2102.87134  0.000278181367  6.44092361E-05
  2132.18433  0.000268412696  6.15790777E-05
  2161.90576  0.000258698943  5.88680414E-05
  2192.0415  0.000248970813  5.62712485E-05
  2222.59741  0.000239155837  5.37831875E-05
  2253.57935  0.000229213154  5.1402094E-05
  2284.99292  0.00021903633  4.91215797E-05
  2316.84448  0.00020846579  4.6938123E-05
  2349.13989  0.000197248024  4.48482133E-05
  2381.8855  0.000184945908  4.28467429E-05
  2415.08789  0.000170607469  4.09304412E-05
  2448.75293  0.000149489584  3.90964815E-05
  2482.88721  3.18866878E-05  3.73444964E-05
  2517.49707  0.000131069071  9.53619092E-05
  2552.58984  0.000134072994  9.08961811E-05
  2588.17163  7.68922255E-05  0.00012599802
  2624.24927  0.000147915009  0.000120131001
  2660.82983  0.000157289353  0.000114536822
  2697.92041  0.000161187141  0.000109207031
  2735.52783  0.000162956349  0.000104126717
  2773.65967  0.00016334423  9.92845962E-05
  2812.323  0.000162749959  9.46701766E-05
  2851.52539  0.000161408519  9.02726315E-05
  2891.27393  0.000159457297  8.60809378E-05
  2931.57666  0.000156960625  8.20847199E-05
  2972.44141  0.000153807778  7.8274963E-05
  3013.87549  0.000149874686  7.4643227E-05
  3055.88745  0.000131785986  7.11797911E-05
  3098.48486  0.00014233969  7.8688463E-05
  3141.67603  0.000144262725  7.50139006E-05
  3185.46924  0.000143321959  7.15120623E-05
  3229.8728  0.000141651195  6.81752717E-05
  3274.89575  0.000139570868  6.49939466E-05
  3320.54614  0.000137210445  6.19619241E-05
  3366.83252  0.000134663453  5.90735181E-05
  3413.7644  0.000131946072  5.63203866E-05
  3461.35059  0.000129022272  5.36958178E-05
  3509.59961  0.000125358085  5.11938488E-05
  3558.52148  0.000118028292  5.17603403E-05
  3608.12549  0.000120864403  4.93715488E-05
  3658.4209  0.000118813507  4.70928389E-05
  3709.41724  0.000116469819  4.49184809E-05
  3761.12451  0.000114089344  4.28454041E-05
  3813.55249  0.000110923422  4.08691558E-05
  3866.71143  0.000107343585  4.06849758E-05
  3920.61133  0.000106820007  3.88079061E-05
  3975.26221  0.000104782281  3.70176167E-05
  4030.67554  0.000102609876  3.53091782E-05
  4086.86084  0.000100399309  3.36751109E-05
  4143.82959  9.81770936E-05  3.21147963E-05
  4201.59229  9.5957701E-05  3.06250622E-05
  4260.16016  9.37507866E-05  2.92027162E-05
  4319.54443  9.15627534E-05  2.78448115E-05
  4379.75635  8.93979886E-05  2.65484887E-05
  4440.80811  8.72587407E-05  2.531061E-05
  4502.71045  8.51474178E-05  2.41286089E-05
  4565.47559  8.30685094E-05  2.30012865E-05
  4629.11572  8.10239071E-05  2.19252779E-05
  4693.64355  7.90145787E-05  2.08982965E-05
  4759.07031  7.70412225E-05  1.99185106E-05
  4825.40918  7.51045882E-05  1.89836974E-05
  4892.67285  7.32048065E-05  1.80918705E-05
  4960.87402  7.13412228E-05  1.72411073E-05
  5030.02588  6.95156996E-05  1.6429447E-05
  5100.14209  6.77281205E-05  1.5655387E-05
  5171.23486  6.59785874E-05  1.49172556E-05
  5243.31885  6.42669474E-05  1.42133467E-05
  5316.4082  6.25928878E-05  1.35420678E-05
  5390.51611  6.09561575E-05  1.29021173E-05
  5465.65723  5.93555524E-05  1.22916836E-05
  5541.84521  5.77915453E-05  1.17098862E-05
  5619.09521  5.62638779E-05  1.11552654E-05
  5697.42285  5.47721465E-05  1.06265306E-05
  5776.8418  5.33157763E-05  1.01224841E-05
  5857.36768  5.18941451E-05  9.6420672E-06
  5939.01611  5.05067728E-05  9.1842503E-06
  6021.80273  4.9152819E-05  8.74786474E-06
  6105.74316  4.78318179E-05  8.3318555E-06
  6190.85449  4.65433623E-05  7.93552226E-06
  6277.15186  4.52869717E-05  7.55788051E-06
  6364.65137  4.40620133E-05  7.19798481E-06
  6453.37158  4.28677959E-05  6.85500527E-06
  6543.32812  4.17037409E-05  6.52827566E-06
  6634.53809  4.05691462E-05  6.21700428E-06
  6727.02051  3.94632225E-05  5.92034894E-06
  6820.7915  3.83856423E-05  5.63779713E-06
  6915.86914  3.73358635E-05  5.36860216E-06
  7012.27295  3.63131876E-05  5.11214512E-06
  7110.02002  3.53169962E-05  4.86784847E-06
  7209.12988  3.43467545E-05  4.63511333E-06
  7309.62109  3.3401735E-05  4.41344491E-06
  7411.51318  3.24812572E-05  4.20237848E-06
  7514.82617  3.15849975E-05  4.00124645E-06
  7619.57861  3.07123228E-05  3.8096814E-06
  7725.79102  2.98626401E-05  3.62724222E-06
  7833.48438  2.90354037E-05  3.45350031E-06
  7942.67969  2.82300771E-05  3.28804413E-06
  8053.396  2.74461217E-05  3.13037913E-06
  8165.65625  2.66827956E-05  2.98029136E-06
  8279.48047  2.59397675E-05  2.83736813E-06
  8394.89258  2.52165646E-05  2.70127339E-06
  8511.91211  2.45126448E-05  2.5716356E-06
  8630.56348  2.3827497E-05  2.44817988E-06
  8750.86914  2.31606446E-05  2.33063565E-06
  8872.85156  2.25115655E-05  2.21866685E-06
  8996.53418  2.18797359E-05  2.11212432E-06
  9121.94141  2.12647683E-05  2.01060925E-06
  9249.0957  2.06662025E-05  1.9139593E-06
  9378.02344  2.00836148E-05  1.82192866E-06
  9508.74805  1.95165867E-05  1.73429635E-06
  9641.29492  1.89646962E-05  1.65086192E-06
  9775.68848  1.84276123E-05  1.57142733E-06
  9911.95703  1.79051403E-05  1.49581535E-06
  10050.125  1.73963999E-05  1.4220908E-06
  10190.2178  1.68999049E-05  1.35195501E-06
  10332.2637  1.64158628E-05  1.28526563E-06
  10476.29  1.59440497E-05  1.22186111E-06
  10622.3232  1.54840764E-05  1.16158469E-06
  10770.3926  1.50355336E-05  1.10427857E-06
  10920.5264  1.45980111E-05  1.04980279E-06
  11072.7529  1.41706505E-05  9.98020482E-07
  11227.1006  1.37531633E-05  9.48788568E-07
  11383.6006  1.33450067E-05  9.01992166E-07
  11542.2822  1.29455102E-05  8.57513101E-07
  11703.1748  1.25538709E-05  8.15238195E-07
  11866.3105  1.21690628E-05  7.75056208E-07
  12031.7207  1.17897798E-05  7.36861011E-07
  12199.4365  1.14129843E-05  7.0056808E-07
  12369.4902  1.1034309E-05  6.66065546E-07
  12541.9141  1.0646655E-05  6.33278489E-07
  12716.7412  1.02297718E-05  6.02118007E-07
  12894.0059  9.56965323E-06  5.72505712E-07
  13073.7412  8.01510942E-06  1.35311257E-06
  13255.9824  9.35151184E-06  1.28477177E-06
  13440.7637  9.24706364E-06  1.21989342E-06
  13628.1211  9.07653157E-06  1.15828141E-06
  13818.0889  8.88201703E-06  1.09979328E-06
  14010.7061  8.67404833E-06  1.04425442E-06
  14206.0068  8.45765044E-06  9.91521802E-07
  14404.0312  8.23482424E-06  9.41454857E-07
  14604.8164  8.00525049E-06  8.9391142E-07
  14808.3994  7.76595698E-06  8.4878269E-07
  15014.8203  7.48905404E-06  8.05924685E-07
  15224.1182  6.75977071E-06  1.06723712E-06
  15436.335  7.11079565E-06  1.01723026E-06
  15651.5098  6.96780216E-06  9.69561711E-07
  15869.6816  6.53666621E-06  1.05655306E-06
  16090.8965  6.698579E-06  1.00690852E-06
  16315.1953  6.57758119E-06  9.59605245E-07
  16542.6191  6.4398705E-06  9.144008E-07
  16773.2148  6.29727947E-06  8.71233567E-07
  17007.0254  6.15299223E-06  8.30016688E-07
  17244.0938  6.00849353E-06  7.90670811E-07
  17484.4668  5.86470469E-06  7.53120048E-07
  17728.1914  5.72223871E-06  7.17285616E-07
  17975.3125  5.58151714E-06  6.83089525E-07
  18225.8789  5.44272416E-06  6.50465267E-07
  18479.9375  5.30609987E-06  6.19339971E-07
  18737.5371  5.17191893E-06  5.89652586E-07
  18998.7285  5.04026821E-06  5.61344734E-07
  19263.5605  4.91121409E-06  5.34353433E-07
  19532.084  4.78479933E-06  5.08621724E-07
  19804.3516  4.66104484E-06  4.84095494E-07
  20080.4141  4.5399579E-06  4.60714631E-07
  20360.3223  4.42148121E-06  4.38429197E-07
  20644.1348  4.30569071E-06  4.17191558E-07
  20931.9023  4.19256457E-06  3.96957518E-07
  21223.6816  4.08207916E-06  3.77682142E-07
  21519.5293  3.97420308E-06  3.59320154E-07
  21819.5  3.8689027E-06  3.41830969E-07
  22123.6523  3.7661448E-06  3.25173801E-07
  22432.0449  3.66585778E-06  3.09307126E-07
  22744.7324  3.56803503E-06  2.94198969E-07
  23061.7832  3.47263699E-06  2.79814458E-07
  23383.252  3.3796216E-06  2.66119798E-07
  23709.2012  3.28894521E-06  2.53082987E-07
  24039.6953  3.20056256E-06  2.40673415E-07
  24374.7949  3.11442432E-06  2.28861353E-07
  24714.5664  3.03047182E-06  2.17618549E-07
  25059.0742  2.94866868E-06  2.06919182E-07
  25408.3848  2.86897784E-06  1.96736963E-07
  25762.5645  2.7913502E-06  1.87048144E-07
  26121.6797  2.71573981E-06  1.77829634E-07
  26485.8008  2.64210234E-06  1.6905885E-07
  26855.  2.57039255E-06  1.60715743E-07
  27229.3438  2.50056087E-06  1.52778469E-07
  27608.9062  2.43256022E-06  1.45227716E-07
  27993.7598  2.3663556E-06  1.38045877E-07
  28383.9766  2.30190517E-06  1.31215202E-07
  28779.6348  2.23916504E-06  1.24718838E-07
  29180.8066  2.17809315E-06  1.1854079E-07
  29587.5723  2.1186479E-06  1.12665603E-07
  30000.0059  2.06079062E-06  1.07078932E-07
