energies,photons
7.0,9862230.0
8.0,12216500.0
9.0,13890400.0
10.0,14729180.0
11.0,8314006.0
12.0,6959941.0
13.0,6599156.0
14.0,6902731.0
15.0,7083377.0
16.0,7222184.0
17.0,7244894.0
18.0,7184544.0
19.0,7067832.0
20.0,6905471.0
21.0,6707567.0
22.0,6484681.0
23.0,6241413.0
24.0,5985267.0
25.0,5723077.0
26.0,5459187.0
27.0,5197378.0
28.0,4935644.0
29.0,4681355.0
30.0,4434646.0
31.0,4195665.0
32.0,3963886.0
33.0,3741298.0
34.0,3527471.0
35.0,3321312.0
36.0,3120399.0
37.0,2930407.0
38.0,2744799.0
39.0,2567480.0
40.0,2396333.0
41.0,2233493.0
42.0,2075196.0
43.0,1922252.0
44.0,1774455.0
45.0,1631244.0
46.0,1492230.0
47.0,1354530.0
48.0,1220843.0
49.0,1089300.0
50.0,959123.9
51.0,830502.8
52.0,700776.3
53.0,566624.4
54.0,426682.0
55.0,274294.0
56.0,0.0
