energy,photons
12,1.443155e+7
13,1.454314e+7
14,1.581069e+7
15,1.671302e+7
16,1.738378e+7
17,1.775292e+7
18,1.786315e+7
19,1.779531e+7
20,1.760369e+7
21,1.729796e+7
22,1.692676e+7
23,1.647810e+7
24,1.599628e+7
25,1.549089e+7
26,1.497527e+7
27,1.445996e+7
28,1.393869e+7
29,1.343656e+7
30,1.293458e+7
31,1.245364e+7
32,1.198296e+7
33,1.153085e+7
34,1.110425e+7
35,1.068325e+7
36,1.027665e+7
37,9.894733e+6
38,9.525787e+6
39,9.174394e+6
40,8.834165e+6
41,8.514375e+6
42,8.202940e+6
43,7.906783e+6
44,7.624690e+6
45,7.352178e+6
46,7.093101e+6
47,6.842758e+6
48,6.605800e+6
49,6.375309e+6
50,6.155706e+6
51,5.946416e+6
52,5.743410e+6
53,5.550785e+6
54,5.363725e+6
55,5.184795e+6
56,5.012905e+6
57,4.846660e+6
58,1.465411e+7
59,2.183304e+7
60,4.385860e+6
61,4.242750e+6
62,4.104905e+6
63,3.972715e+6
64,3.843827e+6
65,3.720776e+6
66,3.600607e+6
67,9.041859e+6
68,3.372973e+6
69,4.705464e+6
70,3.016853e+6
71,2.925058e+6
72,2.835260e+6
73,2.749429e+6
74,2.665123e+6
75,2.583259e+6
76,2.502694e+6
77,2.424828e+6
78,2.348050e+6
79,2.273712e+6
80,2.201190e+6
81,2.129959e+6
82,2.061172e+6
83,1.993121e+6
84,1.928014e+6
85,1.862361e+6
86,1.799139e+6
87,1.737524e+6
88,1.676532e+6
89,1.617877e+6
90,1.559075e+6
91,1.502391e+6
92,1.446539e+6
93,1.391578e+6
94,1.338262e+6
95,1.285010e+6
96,1.233632e+6
97,1.182282e+6
98,1.132301e+6
99,1.082932e+6
100,1.033992e+6
101,986492.5
102,938460.9
103,891850.5
104,845249.7
105,799167.2
106,753930.3
107,708023.6
108,663678.3
109,617972.8
110,573398.8
111,528481.5
112,483227.8
113,438499.7
114,389161.4
115,341448.8
116,294259
117,247825.6
118,183420.4
119,90202.7
120,0
