energies,photons
7.0,9165622.0
8.0,11636460.0
9.0,13655070.0
10.0,14942080.0
11.0,7937230.0
12.0,6617462.0
13.0,6320445.0
14.0,6733470.0
15.0,7045031.0
16.0,7332928.0
17.0,7508004.0
18.0,7594416.0
19.0,7616838.0
20.0,7582362.0
21.0,7496856.0
22.0,7372236.0
23.0,7203539.0
24.0,7013825.0
25.0,6803340.0
26.0,6580873.0
27.0,6345709.0
28.0,6109066.0
29.0,5870509.0
30.0,5634127.0
31.0,5397245.0
32.0,5164522.0
33.0,4939886.0
34.0,4720361.0
35.0,4507493.0
36.0,4296317.0
37.0,4097721.0
38.0,3902468.0
39.0,3715571.0
40.0,3533928.0
41.0,3361264.0
42.0,3192244.0
43.0,3031000.0
44.0,2875269.0
45.0,2725366.0
46.0,2578631.0
47.0,2438739.0
48.0,2303788.0
49.0,2173798.0
50.0,2046262.0
51.0,1923200.0
52.0,1804793.0
53.0,1688811.0
54.0,1576542.0
55.0,1467512.0
56.0,1361128.0
57.0,1255856.0
58.0,1153861.0
59.0,1052931.0
60.0,954184.3
61.0,853938.1
62.0,755871.7
63.0,657352.6
64.0,558848.9
65.0,449579.0
66.0,345921.2
67.0,205360.4
68.0,0.0
