energies,photons
7.0,9747103.0
8.0,12124020.0
9.0,13867070.0
10.0,14809040.0
11.0,8262235.0
12.0,6911911.0
13.0,6561735.0
14.0,6889486.0
15.0,7092936.0
16.0,7260425.0
17.0,7310681.0
18.0,7278321.0
19.0,7189164.0
20.0,7048961.0
21.0,6870027.0
22.0,6659943.0
23.0,6426012.0
24.0,6178806.0
25.0,5925430.0
26.0,5666884.0
27.0,5408904.0
28.0,5152158.0
29.0,4897655.0
30.0,4651405.0
31.0,4412327.0
32.0,4179520.0
33.0,3955949.0
34.0,3740977.0
35.0,3533243.0
36.0,3330981.0
37.0,3136932.0
38.0,2950974.0
39.0,2773057.0
40.0,2600653.0
41.0,2435836.0
42.0,2276639.0
43.0,2123089.0
44.0,1973053.0
45.0,1828794.0
46.0,1689243.0
47.0,1554546.0
48.0,1422898.0
49.0,1294368.0
50.0,1168498.0
51.0,1042736.0
52.0,918719.7
53.0,795086.9
54.0,672105.7
55.0,543139.7
56.0,410429.3
57.0,260276.3
58.0,0.0
