energies,photons
7.0,9677163.0
8.0,12079890.0
9.0,13864390.0
10.0,14840290.0
11.0,8233628.0
12.0,6885830.0
13.0,6541707.0
14.0,6875887.0
15.0,7094785.0
16.0,7279040.0
17.0,7343740.0
18.0,7322349.0
19.0,7245527.0
20.0,7112372.0
21.0,6941490.0
22.0,6743781.0
23.0,6516880.0
24.0,6275197.0
25.0,6024219.0
26.0,5769024.0
27.0,5509867.0
28.0,5253735.0
29.0,5003494.0
30.0,4758190.0
31.0,4519892.0
32.0,4285907.0
33.0,4059989.0
34.0,3843879.0
35.0,3634773.0
36.0,3432297.0
37.0,3239812.0
38.0,3053531.0
39.0,2874231.0
40.0,2699095.0
41.0,2533085.0
42.0,2373881.0
43.0,2219395.0
44.0,2070488.0
45.0,1926587.0
46.0,1786111.0
47.0,1649911.0
48.0,1518143.0
49.0,1390890.0
50.0,1265591.0
51.0,1142526.0
52.0,1021702.0
53.0,899945.6
54.0,778866.3
55.0,658767.9
56.0,532057.9
57.0,402837.9
58.0,253751.0
59.0,0.0
