energies,photons
7.0,9804721.0
8.0,12178640.0
9.0,13874410.0
10.0,14767350.0
11.0,8286863.0
12.0,6937325.0
13.0,6580917.0
14.0,6896854.0
15.0,7091264.0
16.0,7245392.0
17.0,7278168.0
18.0,7230047.0
19.0,7128288.0
20.0,6979182.0
21.0,6790788.0
22.0,6576092.0
23.0,6337010.0
24.0,6085846.0
25.0,5824096.0
26.0,5562203.0
27.0,5301663.0
28.0,5044728.0
29.0,4791489.0
30.0,4545559.0
31.0,4307055.0
32.0,4073719.0
33.0,3848738.0
34.0,3633675.0
35.0,3426343.0
36.0,3225472.0
37.0,3034328.0
38.0,2849743.0
39.0,2672029.0
40.0,2500807.0
41.0,2335105.0
42.0,2175916.0
43.0,2022183.0
44.0,1874803.0
45.0,1731247.0
46.0,1592178.0
47.0,1456529.0
48.0,1324501.0
49.0,1193933.0
50.0,1065614.0
51.0,938341.9
52.0,812914.3
53.0,686219.1
54.0,554551.4
55.0,418441.8
56.0,267096.6
57.0,0.0
