energies,photons
7.0,9617743.0
8.0,12041350.0
9.0,13852300.0
10.0,14867650.0
11.0,8204167.0
12.0,6855322.0
13.0,6516100.0
14.0,6865982.0
15.0,7097537.0
16.0,7293792.0
17.0,7372357.0
18.0,7360372.0
19.0,7294043.0
20.0,7176391.0
21.0,7015567.0
22.0,6824383.0
23.0,6604432.0
24.0,6368230.0
25.0,6117072.0
26.0,5865725.0
27.0,5611887.0
28.0,5357982.0
29.0,5107787.0
30.0,4861054.0
31.0,4622118.0
32.0,4388521.0
33.0,4164038.0
34.0,3948019.0
35.0,3739001.0
36.0,3532819.0
37.0,3339040.0
38.0,3152471.0
39.0,2971803.0
40.0,2797666.0
41.0,2631503.0
42.0,2471324.0
43.0,2314101.0
44.0,2165093.0
45.0,2020376.0
46.0,1880658.0
47.0,1745011.0
48.0,1612846.0
49.0,1484575.0
50.0,1360312.0
51.0,1237809.0
52.0,1118002.0
53.0,999985.5
54.0,881733.1
55.0,763539.3
56.0,645801.8
57.0,521554.7
58.0,395557.1
59.0,247431.6
60.0,0.0
