energies,photons
7.0,10194490.0
8.0,12391550.0
9.0,13803160.0
10.0,14379210.0
11.0,8436756.0
12.0,7081320.0
13.0,6676293.0
14.0,6896490.0
15.0,6981730.0
16.0,7022042.0
17.0,6953677.0
18.0,6811313.0
19.0,6625420.0
20.0,6401508.0
21.0,6152537.0
22.0,5888346.0
23.0,5611316.0
24.0,5330633.0
25.0,5050166.0
26.0,4773228.0
27.0,4502779.0
28.0,4240660.0
29.0,3982972.0
30.0,3736883.0
31.0,3500358.0
32.0,3270840.0
33.0,3052067.0
34.0,2842122.0
35.0,2640444.0
36.0,2444755.0
37.0,2258489.0
38.0,2078324.0
39.0,1904361.0
40.0,1736070.0
41.0,1573412.0
42.0,1414580.0
43.0,1259203.0
44.0,1106209.0
45.0,954490.6
46.0,802784.7
47.0,649436.2
48.0,483270.7
49.0,321678.7
50.0,0.0
