energies,photons
7.0,10083660.0
8.0,12340330.0
9.0,13845540.0
10.0,14517160.0
11.0,8403557.0
12.0,7049288.0
13.0,6659078.0
14.0,6907606.0
15.0,7028941.0
16.0,7103534.0
17.0,7066375.0
18.0,6951620.0
19.0,6789701.0
20.0,6586287.0
21.0,6353621.0
22.0,6102614.0
23.0,5835535.0
24.0,5562408.0
25.0,5287531.0
26.0,5011696.0
27.0,4743406.0
28.0,4480182.0
29.0,4224404.0
30.0,3977943.0
31.0,3740083.0
32.0,3509510.0
33.0,3289223.0
34.0,3077764.0
35.0,2874371.0
36.0,2677200.0
37.0,2489856.0
38.0,2309970.0
39.0,2135363.0
40.0,1966689.0
41.0,1804373.0
42.0,1647005.0
43.0,1493962.0
44.0,1344547.0
45.0,1198057.0
46.0,1053589.0
47.0,909882.5
48.0,766315.5
49.0,620254.2
50.0,463737.1
51.0,306396.8
52.0,0.0
