energies,photons
7.0,9558586.0
8.0,11995630.0
9.0,13837510.0
10.0,14891310.0
11.0,8173954.0
12.0,6826546.0
13.0,6495113.0
14.0,6853364.0
15.0,7096721.0
16.0,7306623.0
17.0,7394329.0
18.0,7397019.0
19.0,7345198.0
20.0,7236793.0
21.0,7085799.0
22.0,6903062.0
23.0,6685324.0
24.0,6455188.0
25.0,6211870.0
26.0,5962676.0
27.0,5711667.0
28.0,5456856.0
29.0,5206769.0
30.0,4963791.0
31.0,4725774.0
32.0,4491338.0
33.0,4267104.0
34.0,4048046.0
35.0,3837574.0
36.0,3633103.0
37.0,3439071.0
38.0,3251497.0
39.0,3068510.0
40.0,2892745.0
41.0,2726260.0
42.0,2564794.0
43.0,2409239.0
44.0,2259389.0
45.0,2112591.0
46.0,1971837.0
47.0,1836378.0
48.0,1704900.0
49.0,1577572.0
50.0,1452493.0
51.0,1329988.0
52.0,1211574.0
53.0,1094542.0
54.0,978938.3
55.0,864862.1
56.0,748634.3
57.0,632443.2
58.0,511490.7
59.0,388451.6
60.0,241439.2
61.0,0.0
