energies,photons
7.0,9276959.0
8.0,11753870.0
9.0,13709170.0
10.0,14940500.0
11.0,8005401.0
12.0,6682325.0
13.0,6370636.0
14.0,6771404.0
15.0,7065171.0
16.0,7335378.0
17.0,7484086.0
18.0,7548978.0
19.0,7552669.0
20.0,7497287.0
21.0,7389391.0
22.0,7248547.0
23.0,7068985.0
24.0,6866637.0
25.0,6643278.0
26.0,6412673.0
27.0,6174750.0
28.0,5932610.0
29.0,5688141.0
30.0,5449242.0
31.0,5213906.0
32.0,4979611.0
33.0,4752721.0
34.0,4534055.0
35.0,4322628.0
36.0,4113085.0
37.0,3915865.0
38.0,3721255.0
39.0,3536349.0
40.0,3356748.0
41.0,3186043.0
42.0,3017994.0
43.0,2858702.0
44.0,2704769.0
45.0,2556514.0
46.0,2411573.0
47.0,2272983.0
48.0,2139173.0
49.0,2010202.0
50.0,1883385.0
51.0,1761766.0
52.0,1643816.0
53.0,1529498.0
54.0,1416224.0
55.0,1307133.0
56.0,1199606.0
57.0,1094681.0
58.0,989974.3
59.0,886726.7
60.0,784016.9
61.0,681639.1
62.0,577937.0
63.0,466311.2
64.0,357001.4
65.0,214678.5
66.0,0.0
