energies,photons
7.0,9919518.0
8.0,12252410.0
9.0,13886790.0
10.0,14696380.0
11.0,8345131.0
12.0,6984215.0
13.0,6614760.0
14.0,6905130.0
15.0,7071310.0
16.0,7196592.0
17.0,7204527.0
18.0,7130548.0
19.0,7005179.0
20.0,6833060.0
21.0,6626906.0
22.0,6397111.0
23.0,6142744.0
24.0,5881710.0
25.0,5615743.0
26.0,5348908.0
27.0,5086645.0
28.0,4826006.0
29.0,4571627.0
30.0,4325197.0
31.0,4086792.0
32.0,3854516.0
33.0,3630801.0
34.0,3417418.0
35.0,3211310.0
36.0,3011030.0
37.0,2821378.0
38.0,2639534.0
39.0,2463227.0
40.0,2293091.0
41.0,2129992.0
42.0,1972301.0
43.0,1819853.0
44.0,1671053.0
45.0,1527160.0
46.0,1386780.0
47.0,1249110.0
48.0,1114101.0
49.0,981803.9
50.0,849130.9
51.0,715996.0
52.0,579089.1
53.0,435399.7
54.0,281748.9
55.0,0.0
