energies,photons
7.0,10139530.0
8.0,12367450.0
9.0,13826700.0
10.0,14450910.0
11.0,8421176.0
12.0,7064876.0
13.0,6667427.0
14.0,6900342.0
15.0,7005423.0
16.0,7062938.0
17.0,7010163.0
18.0,6881543.0
19.0,6707534.0
20.0,6493754.0
21.0,6252801.0
22.0,5995063.0
23.0,5722875.0
24.0,5445840.0
25.0,5169898.0
26.0,4894551.0
27.0,4625165.0
28.0,4361446.0
29.0,4105722.0
30.0,3859478.0
31.0,3622233.0
32.0,3392317.0
33.0,3172721.0
34.0,2962076.0
35.0,2759557.0
36.0,2563274.0
37.0,2376489.0
38.0,2195976.0
39.0,2021766.0
40.0,1853383.0
41.0,1691072.0
42.0,1533311.0
43.0,1379282.0
44.0,1228519.0
45.0,1079884.0
46.0,932440.4
47.0,784702.0
48.0,635266.9
49.0,474041.4
50.0,315488.8
51.0,0.0
