energies,photons
7.0,9221001.0
8.0,11689190.0
9.0,13686240.0
10.0,14942580.0
11.0,7971402.0
12.0,6648324.0
13.0,6346410.0
14.0,6752711.0
15.0,7055565.0
16.0,7332455.0
17.0,7497688.0
18.0,7572549.0
19.0,7587817.0
20.0,7538563.0
21.0,7444842.0
22.0,7311255.0
23.0,7139403.0
24.0,6939174.0
25.0,6724683.0
26.0,6497375.0
27.0,6263049.0
28.0,6019870.0
29.0,5780284.0
30.0,5542011.0
31.0,5308104.0
32.0,5071239.0
33.0,4846926.0
34.0,4629113.0
35.0,4416675.0
36.0,4203955.0
37.0,4006310.0
38.0,3813561.0
39.0,3627467.0
40.0,3444625.0
41.0,3273238.0
42.0,3106734.0
43.0,2946238.0
44.0,2789468.0
45.0,2640559.0
46.0,2496619.0
47.0,2357357.0
48.0,2221050.0
49.0,2091697.0
50.0,1965952.0
51.0,1844039.0
52.0,1724010.0
53.0,1609676.0
54.0,1497620.0
55.0,1389275.0
56.0,1280367.0
57.0,1176225.0
58.0,1073552.0
59.0,972477.9
60.0,869686.7
61.0,769560.0
62.0,669369.6
63.0,569184.2
64.0,457350.3
65.0,351315.8
66.0,209959.7
67.0,0.0
