energies,photons
7.0,9447943.0
8.0,11901190.0
9.0,13800570.0
10.0,14911920.0
11.0,8102932.0
12.0,6770589.0
13.0,6448413.0
14.0,6825111.0
15.0,7086117.0
16.0,7321989.0
17.0,7438773.0
18.0,7467270.0
19.0,7437459.0
20.0,7346059.0
21.0,7214844.0
22.0,7047823.0
23.0,6847733.0
24.0,6628230.0
25.0,6389700.0
26.0,6148361.0
27.0,5902042.0
28.0,5653605.0
29.0,5407413.0
30.0,5161540.0
31.0,4925372.0
32.0,4690500.0
33.0,4465808.0
34.0,4246951.0
35.0,4034925.0
36.0,3828575.0
37.0,3632968.0
38.0,3443557.0
39.0,3259126.0
40.0,3081316.0
41.0,2913258.0
42.0,2750164.0
43.0,2593136.0
44.0,2440224.0
45.0,2293166.0
46.0,2152704.0
47.0,2015611.0
48.0,1883731.0
49.0,1754200.0
50.0,1630226.0
51.0,1508878.0
52.0,1391220.0
53.0,1276408.0
54.0,1161389.0
55.0,1050307.0
56.0,939726.4
57.0,830462.2
58.0,721865.0
59.0,609322.9
60.0,492395.6
61.0,375144.4
62.0,230104.8
63.0,0.0
