energies,photons
7.0,9333462.0
8.0,11803590.0
9.0,13738100.0
10.0,14935710.0
11.0,8039171.0
12.0,6711892.0
13.0,6396610.0
14.0,6787624.0
15.0,7073777.0
16.0,7332380.0
17.0,7474241.0
18.0,7521790.0
19.0,7515652.0
20.0,7449401.0
21.0,7336301.0
22.0,7182536.0
23.0,6996927.0
24.0,6788162.0
25.0,6563259.0
26.0,6325585.0
27.0,6083743.0
28.0,5840509.0
29.0,5596840.0
30.0,5356808.0
31.0,5117919.0
32.0,4884040.0
33.0,4658875.0
34.0,4441663.0
35.0,4227497.0
36.0,4019020.0
37.0,3821902.0
38.0,3630870.0
39.0,3444670.0
40.0,3265236.0
41.0,3095499.0
42.0,2930633.0
43.0,2771987.0
44.0,2616940.0
45.0,2469696.0
46.0,2327153.0
47.0,2189035.0
48.0,2054544.0
49.0,1925944.0
50.0,1800886.0
51.0,1679481.0
52.0,1561101.0
53.0,1445668.0
54.0,1333826.0
55.0,1224245.0
56.0,1116771.0
57.0,1008836.0
58.0,903849.4
59.0,798802.9
60.0,694594.1
61.0,587947.7
62.0,474727.4
63.0,362797.3
64.0,219640.1
65.0,0.0
