energies,photons
7.0,9044559.0
8.0,11537540.0
9.0,13588510.0
10.0,14933890.0
11.0,7861293.0
12.0,6558429.0
13.0,6268234.0
14.0,6689841.0
15.0,7016933.0
16.0,7327256.0
17.0,7524351.0
18.0,7627555.0
19.0,7676093.0
20.0,7661405.0
21.0,7591729.0
22.0,7484112.0
23.0,7333275.0
24.0,7155645.0
25.0,6951563.0
26.0,6738325.0
27.0,6513872.0
28.0,6278884.0
29.0,6044590.0
30.0,5810271.0
31.0,5579292.0
32.0,5343430.0
33.0,5120123.0
34.0,4902657.0
35.0,4687293.0
36.0,4475423.0
37.0,4275472.0
38.0,4081051.0
39.0,3889902.0
40.0,3707305.0
41.0,3532857.0
42.0,3364225.0
43.0,3199477.0
44.0,3041978.0
45.0,2890197.0
46.0,2742020.0
47.0,2600361.0
48.0,2463952.0
49.0,2332857.0
50.0,2203930.0
51.0,2079869.0
52.0,1960722.0
53.0,1843360.0
54.0,1730743.0
55.0,1621585.0
56.0,1514219.0
57.0,1410396.0
58.0,1308862.0
59.0,1209524.0
60.0,1110660.0
61.0,1014366.0
62.0,919366.7
63.0,824410.7
64.0,729741.4
65.0,634806.1
66.0,539147.4
67.0,434966.4
68.0,335576.9
69.0,196705.2
70.0,0.0
