energies,photons
7.0,10027050.0
8.0,12317600.0
9.0,13867980.0
10.0,14586620.0
11.0,8387851.0
12.0,7030390.0
13.0,6647399.0
14.0,6910839.0
15.0,7047936.0
16.0,7139260.0
17.0,7117587.0
18.0,7013168.0
19.0,6862971.0
20.0,6669599.0
21.0,6445190.0
22.0,6200791.0
23.0,5938749.0
24.0,5669449.0
25.0,5397350.0
26.0,5127749.0
27.0,4860816.0
28.0,4598499.0
29.0,4343180.0
30.0,4096655.0
31.0,3858750.0
32.0,3627447.0
33.0,3407009.0
34.0,3194945.0
35.0,2990973.0
36.0,2791132.0
37.0,2603117.0
38.0,2421297.0
39.0,2246054.0
40.0,2076845.0
41.0,1914215.0
42.0,1756758.0
43.0,1604089.0
44.0,1456681.0
45.0,1311528.0
46.0,1169148.0
47.0,1028295.0
48.0,888642.2
49.0,748815.4
50.0,605936.9
51.0,453784.2
52.0,297814.5
53.0,0.0
