energy,photons
8,1.210095e+7
9,1.669414e+7
10,1.975091e+7
11,1.516968e+7
12,1.414766e+7
13,1.401612e+7
14,1.456785e+7
15,1.477570e+7
16,1.476480e+7
17,1.455322e+7
18,1.420103e+7
19,1.374805e+7
20,1.325152e+7
21,1.272675e+7
22,1.218295e+7
23,1.163978e+7
24,1.109881e+7
25,1.057690e+7
26,1.007393e+7
27,9.587301e+6
28,9.122238e+6
29,8.681760e+6
30,8.257852e+6
31,7.859310e+6
32,7.480055e+6
33,7.117714e+6
34,6.779472e+6
35,6.455000e+6
36,6.146822e+6
37,5.858413e+6
38,5.581147e+6
39,5.319696e+6
40,5.069633e+6
41,4.834062e+6
42,4.609792e+6
43,4.395131e+6
44,4.191332e+6
45,3.997453e+6
46,3.810440e+6
47,3.633402e+6
48,3.462776e+6
49,3.301089e+6
50,3.146140e+6
51,2.996641e+6
52,2.853254e+6
53,2.716385e+6
54,2.583683e+6
55,2.456676e+6
56,2.333710e+6
57,2.215735e+6
58,2.862370e+6
59,3.311512e+6
60,1.884507e+6
61,1.781583e+6
62,1.680568e+6
63,1.583385e+6
64,1.488389e+6
65,1.396275e+6
66,1.306774e+6
67,1.642636e+6
68,1.131976e+6
69,1.157918e+6
70,949408.7
71,869262.1
72,789673.2
73,710020.9
74,630951.3
75,551242
76,465797.9
77,381200.3
78,297387.9
79,163967
80,0
