energies,photons
7.0,9976463.0
8.0,12286180.0
9.0,13879390.0
10.0,14643950.0
11.0,8367277.0
12.0,7010190.0
13.0,6634244.0
14.0,6908232.0
15.0,7059824.0
16.0,7166785.0
17.0,7159605.0
18.0,7071811.0
19.0,6933898.0
20.0,6753318.0
21.0,6537968.0
22.0,6300781.0
23.0,6044379.0
24.0,5779485.0
25.0,5510718.0
26.0,5241877.0
27.0,4974134.0
28.0,4712344.0
29.0,4457121.0
30.0,4210249.0
31.0,3971827.0
32.0,3739670.0
33.0,3519679.0
34.0,3307039.0
35.0,3102062.0
36.0,2903065.0
37.0,2714499.0
38.0,2532455.0
39.0,2356899.0
40.0,2187557.0
41.0,2023288.0
42.0,1865488.0
43.0,1712761.0
44.0,1564668.0
45.0,1420256.0
46.0,1279122.0
47.0,1141326.0
48.0,1004476.0
49.0,868426.2
50.0,732116.1
51.0,592127.1
52.0,444388.1
53.0,289631.6
54.0,0.0
