energies,photons
7.0,9505827.0
8.0,11948870.0
9.0,13820220.0
10.0,14911420.0
11.0,8136106.0
12.0,6799610.0
13.0,6471999.0
14.0,6839711.0
15.0,7094444.0
16.0,7312810.0
17.0,7416138.0
18.0,7434191.0
19.0,7392395.0
20.0,7295046.0
21.0,7149705.0
22.0,6973536.0
23.0,6768179.0
24.0,6542480.0
25.0,6303817.0
26.0,6055239.0
27.0,5805474.0
28.0,5556214.0
29.0,5308150.0
30.0,5065074.0
31.0,4825546.0
32.0,4589982.0
33.0,4366098.0
34.0,4149154.0
35.0,3938748.0
36.0,3732777.0
37.0,3535375.0
38.0,3347396.0
39.0,3165074.0
40.0,2989069.0
41.0,2821400.0
42.0,2657216.0
43.0,2501264.0
44.0,2350327.0
45.0,2204678.0
46.0,2064330.0
47.0,1926162.0
48.0,1793721.0
49.0,1666721.0
50.0,1542625.0
51.0,1421669.0
52.0,1302253.0
53.0,1185603.0
54.0,1071796.0
55.0,959053.4
56.0,847205.7
57.0,734502.4
58.0,620742.2
59.0,501682.0
60.0,381724.5
61.0,235624.5
62.0,0.0
