energies,photons
7.0,9110854.0
8.0,11583510.0
9.0,13622450.0
10.0,14939150.0
11.0,7896978.0
12.0,6588834.0
13.0,6294374.0
14.0,6713738.0
15.0,7028531.0
16.0,7330646.0
17.0,7516870.0
18.0,7614640.0
19.0,7648075.0
20.0,7622747.0
21.0,7547108.0
22.0,7427063.0
23.0,7269994.0
24.0,7085465.0
25.0,6880655.0
26.0,6658065.0
27.0,6431097.0
28.0,6195968.0
29.0,5959942.0
30.0,5721946.0
31.0,5489275.0
32.0,5256154.0
33.0,5029290.0
34.0,4812104.0
35.0,4598611.0
36.0,4387527.0
37.0,4185529.0
38.0,3992191.0
39.0,3804194.0
40.0,3620511.0
41.0,3446872.0
42.0,3278550.0
43.0,3116489.0
44.0,2958151.0
45.0,2807417.0
46.0,2661817.0
47.0,2520948.0
48.0,2383216.0
49.0,2252774.0
50.0,2126031.0
51.0,2001700.0
52.0,1882799.0
53.0,1767218.0
54.0,1654954.0
55.0,1544521.0
56.0,1438214.0
57.0,1334408.0
58.0,1233376.0
59.0,1132021.0
60.0,1033439.0
61.0,936297.0
62.0,839032.1
63.0,742455.7
64.0,645961.0
65.0,548741.2
66.0,442203.9
67.0,340618.8
68.0,200978.8
69.0,0.0
